property_type,society,sector,priceCr,area,bedRoom,bathroom,balcony,study room,servant room,floorNum,agePossession,furnishing_type,luxury_category,UserID,PricePerSquare,Rent,floor_category
flat,signature global park 4,sector 36,1.06,850,3,2,2,0,0,2,New Property,unfurnished,Low,1,12.47,21.2,Low Floor
flat,smart world gems,sector 89,1.22,1226,2,2,2,1,1,4,New Property,unfurnished,Low,1,9.95,24.4,Mid Floor
flat,breez global hill view,sohna road,0.41,1000,2,2,1,0,0,17,New Property,unfurnished,Low,1,4.1,8.2,High Floor
flat,bestech park view sanskruti,sector 92,2.06,1615,3,4,3+,0,1,10,Relatively New,semifurnished,High,1,12.76,41.2,Mid Floor
flat,suncity avenue,sector 102,0.62,582,2,2,1,0,0,5,Relatively New,unfurnished,High,1,10.65,12.4,Mid Floor
flat,paras quartier,gwal pahari,9.67,4842,4,4,3+,0,1,20,New Property,semifurnished,Low,1,19.97,193.4,High Floor
flat,experion the heartsong,sector 108,2.58,2116,3,3,3+,0,1,14,Relatively New,unfurnished,Medium,1,12.19,51.6,High Floor
flat,adani m2k oyster grande,sector 102,2.45,1710,3,4,3,0,1,8,Relatively New,unfurnished,High,1,14.33,49,Mid Floor
house,independent,sector 105,1.55,1185.51,3,2,1,0,0,2,Old Property,unfurnished,Low,1,13.07,31,Low Floor
house,dlf city phase 1,sector 26,5.79,1350,3,3,2,1,1,2,Moderately Old,unfurnished,Medium,1,42.89,115.8,Low Floor
house,independent,sector 109,2,2360,3,2,0,0,0,1,Undefined,unfurnished,Low,1,8.47,40,Low Floor
flat,dlf regency park,sector 28,2.06,1222,2,2,2,0,0,3,Relatively New,unfurnished,Medium,1,16.86,41.2,Mid Floor
flat,ats tourmaline,sector 109,2.9,2339,3,4,3,0,1,14,Relatively New,unfurnished,Medium,1,12.4,58,High Floor
flat,emaar mgf emerald floors premier,sector 65,3.57,2194,4,4,3+,1,1,3,Relatively New,furnished,High,1,16.27,71.4,Mid Floor
house,independent,sector 12,1.55,846,2,4,2,0,0,2,Relatively New,semifurnished,Low,1,18.32,31,Low Floor
flat,bestech park view sanskruti,sector 92,2,1805,3,4,3,0,1,16,Relatively New,semifurnished,Medium,1,11.08,40,High Floor
flat,ss the leaf,sector 85,1.4,1638,2,2,3,0,0,9,Relatively New,unfurnished,High,1,8.55,28,Mid Floor
flat,capital residences 360,sector 70a,1.48,1400,2,2,3,0,0,4,New Property,unfurnished,Medium,1,10.57,29.6,Mid Floor
flat,ss the leaf,sector 85,2.28,2179,3,4,3+,0,0,7,New Property,unfurnished,Medium,1,10.46,45.6,Mid Floor
flat,afnhb jalvayu vihar,sector 30,1.09,734,2,2,1,0,0,2,Old Property,semifurnished,Low,1,14.85,21.8,Low Floor
flat,m3m woodshire,sector 107,1.16,1236,2,2,3+,0,0,10,Relatively New,semifurnished,Low,1,9.39,23.2,Mid Floor
flat,godrej habitat,sector 3,1.55,1307,2,2,3,0,0,0,Under Construction,unfurnished,Medium,1,11.86,31,Low Floor
flat,ansal api celebrity suites,sector 2,0.78,665,1,1,1,0,0,5,Moderately Old,semifurnished,Medium,1,11.73,15.6,Mid Floor
house,independent,sector 41,11.59,3240,8,5,3+,0,1,3,Old Property,semifurnished,Low,1,35.77,231.8,Mid Floor
house,independent,sector 41,9.02,2475,7,7,3+,1,1,3,Moderately Old,furnished,High,1,36.44,180.4,Mid Floor
flat,chanderlok society,sector 28,1.16,1382,4,2,3+,0,0,1,Old Property,unfurnished,Low,1,8.39,23.2,Low Floor
house,independent,sector 4,0.51,450,1,1,0,0,0,1,Moderately Old,unfurnished,Low,1,11.33,10.2,Low Floor
